Date,Open,High,Low,Close,Adj Close,Volume
2014-07-10,0,0,0,0,0,0
2014-07-11,79364.398438,79364.398438,79364.398438,79364.398438,79364.398438,0
2014-07-14,0,0,0,0,0,0
2014-07-15,0,0,0,0,0,0
2014-07-16,82270.500000,82270.500000,82270.500000,82270.500000,82270.500000,0
2014-07-17,0,0,0,0,0,0
2014-07-18,82314.500000,82314.500000,82314.500000,82314.500000,82314.500000,0
2014-07-21,82270.296875,82270.296875,82270.296875,82270.296875,82270.296875,0
2014-07-22,82530.500000,82530.500000,82530.500000,82530.500000,82530.500000,0
2014-07-23,82854.601563,82854.601563,82854.601563,82854.601563,82854.601563,0
2014-07-24,83824.601563,83824.601563,83824.601563,83824.601563,83824.601563,0
2014-07-25,84218.000000,84218.000000,84218.000000,84218.000000,84218.000000,0
2014-07-28,0,0,0,0,0,0
2014-07-29,0,0,0,0,0,0
2014-07-30,0,0,0,0,0,0
2014-07-31,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0
2014-08-04,81893.296875,81893.296875,81893.296875,81893.296875,81893.296875,0
2014-08-05,0,0,0,0,0,0
2014-08-06,79432.296875,79432.296875,79432.296875,79432.296875,79432.296875,0
2014-08-07,0,0,0,0,0,0
2014-08-08,79199.398438,79199.398438,79199.398438,79199.398438,79199.398438,0
2014-08-11,77271.203125,77271.203125,77271.203125,77271.203125,77271.203125,0
2014-08-12,0,0,0,0,0,0
2014-08-13,77618.601563,77618.601563,77618.601563,77618.601563,77618.601563,0
2014-08-14,0,0,0,0,0,0
2014-08-15,76692.101563,76692.101563,76692.101563,76692.101563,76692.101563,0
2014-08-18,77342.101563,77342.101563,77342.101563,77342.101563,77342.101563,0
2014-08-19,0,0,0,0,0,0
2014-08-20,0,0,0,0,0,0
2014-08-21,78957.500000,78957.500000,78957.500000,78957.500000,78957.500000,0
2014-08-22,0,0,0,0,0,0
2014-08-25,0,0,0,0,0,0
2014-08-26,80754.296875,80754.296875,80754.296875,80754.296875,80754.296875,0
2014-08-27,0,0,0,0,0,0
2014-08-28,0,0,0,0,0,0
2014-08-29,0,0,0,0,0,0
2014-09-01,80824.703125,80824.703125,80824.703125,80824.703125,80824.703125,0
2014-09-02,0,0,0,0,0,0
2014-09-03,0,0,0,0,0,0
2014-09-04,0,0,0,0,0,0
2014-09-05,0,0,0,0,0,0
2014-09-08,0,0,0,0,0,0
2014-09-09,0,0,0,0,0,0
2014-09-10,0,0,0,0,0,0
2014-09-11,0,0,0,0,0,0
2014-09-12,0,0,0,0,0,0
2014-09-15,0,0,0,0,0,0
2014-09-16,0,0,0,0,0,0
2014-09-17,0,0,0,0,0,0
2014-09-18,0,0,0,0,0,0
2014-09-19,0,0,0,0,0,0
2014-09-22,0,0,0,0,0,0
2014-09-23,0,0,0,0,0,0
2014-09-24,0,0,0,0,0,0
2014-09-25,0,0,0,0,0,0
2014-09-26,0,0,0,0,0,0
2014-09-29,0,0,0,0,0,0
2014-09-30,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0
2014-10-02,0,0,0,0,0,0
2014-10-03,0,0,0,0,0,0
2014-10-06,0,0,0,0,0,0
2014-10-07,0,0,0,0,0,0
2014-10-08,72943.500000,72943.500000,72943.500000,72943.500000,72943.500000,0
2014-10-09,0,0,0,0,0,0
2014-10-10,73494.101563,73494.101563,73494.101563,73494.101563,73494.101563,0
2014-10-13,75115.703125,75115.703125,75115.703125,75115.703125,75115.703125,0
2014-10-14,74686.601563,74686.601563,74686.601563,74686.601563,74686.601563,0
2014-10-15,0,0,0,0,0,0
2014-10-16,74575.898438,74575.898438,74575.898438,74575.898438,74575.898438,0
2014-10-17,75533.296875,75533.296875,75533.296875,75533.296875,75533.296875,0
2014-10-20,76331.398438,76331.398438,76331.398438,76331.398438,76331.398438,0
2014-10-21,0,0,0,0,0,0
2014-10-22,0,0,0,0,0,0
2014-10-23,0,0,0,0,0,0
